term,estimate,std.error,statistic,p.value,outcome,lwr,upr,model
(Intercept),0.272574898542014,0.189177727280428,1.44084032756119,0.149629797467936,w4.cigarettes.bin.30,-0.0982066336047653,0.643356430688793,Model  1
raceNon Hispanic Black/Af-Am,-0.177444029191863,0.137630602404081,-1.28927742880097,0.197301655006268,w4.cigarettes.bin.30,-0.447195053074414,0.092306994690688,Model  1
raceNon Hispanic Asian/Pacific Islander,-0.202190962831999,0.227990041858628,-0.886841202289765,0.375164401280441,w4.cigarettes.bin.30,-0.649043233708688,0.24466130804469,Model  1
raceHispanic,-0.293907831082712,0.143909286942026,-2.04231316357723,0.0411204771765422,w4.cigarettes.bin.30,-0.575964850529924,-0.0118508116355009,Model  1
raceMultiple Races or Other,0.228224156931538,0.173292272795888,1.31698980715863,0.187842041199205,w4.cigarettes.bin.30,-0.111422456547493,0.567870770410569,Model  1
pseudo.gpa,-0.390369796452511,0.049699083534522,-7.85466790713256,4.00832768233213e-15,w4.cigarettes.bin.30,-0.487778210244821,-0.2929613826602,Model  1
sespc_al,-0.00641856334383777,0.0364873123861728,-0.175912198626889,0.860362921681342,w4.cigarettes.bin.30,-0.0779323815133986,0.0650952548257231,Model  1
nhood1_d,0.00978713108024342,0.00448659230442948,2.18141752496229,0.029152548571004,w4.cigarettes.bin.30,0.000993571750247078,0.0185806904102398,Model  1
w1.GE_male_std,0.131220131218948,0.0382412166273733,3.43137961581012,0.000600519600512297,w4.cigarettes.bin.30,0.0562687239043017,0.206171538533593,Model  1
w1.cigarettes,1.16312581946216,0.0943901789388245,12.322530082457,6.85105854461508e-35,w4.cigarettes.bin.30,0.978124468247778,1.34812717067655,Model  1
(Intercept),0.21055389601776,0.187554429077239,1.12262822612975,0.261595422363252,w4.cigarettes.bin.30,-0.157046030114601,0.578153822150121,Model  2
raceNon Hispanic Black/Af-Am,-0.122133854164482,0.136097042398953,-0.897402706272346,0.369504068991778,w4.cigarettes.bin.30,-0.388879155668851,0.144611447339886,Model  2
raceNon Hispanic Asian/Pacific Islander,-0.181876649014783,0.228942258955905,-0.794421483583828,0.426950101378181,w4.cigarettes.bin.30,-0.6305952311076,0.266841933078033,Model  2
raceHispanic,-0.277554393081869,0.142804513073178,-1.94359678912697,0.0519440933376141,w4.cigarettes.bin.30,-0.557446095535078,0.00233730937133936,Model  2
raceMultiple Races or Other,0.250414876128406,0.18305642267376,1.36796552926576,0.171322866227626,w4.cigarettes.bin.30,-0.108369119450904,0.609198871707716,Model  2
pseudo.gpa,-0.382510764198844,0.0499975405751904,-7.65059160507292,2.00056762675914e-14,w4.cigarettes.bin.30,-0.480504143041798,-0.284517385355891,Model  2
sespc_al,-0.0105938648662513,0.0376184417810259,-0.281613601326641,0.778239809803267,w4.cigarettes.bin.30,-0.0843246559115788,0.0631369261790762,Model  2
nhood1_d,0.0103205378210246,0.00445961639899932,2.31422097724379,0.0206556038642248,w4.cigarettes.bin.30,0.00157985029412177,0.0190612253479275,Model  2
w4.GE_male_std,0.225827675292135,0.0396354627808936,5.69761671613422,1.21493805473621e-08,w4.cigarettes.bin.30,0.148143595731006,0.303511754853264,Model  2
w1.cigarettes,1.15808116972909,0.0953627588706726,12.1439562303313,6.17657696690337e-34,w4.cigarettes.bin.30,0.971173596876193,1.34498874258198,Model  2
(Intercept),0.261615734383062,0.18552341416003,1.41014941735277,0.158495568045251,w4.cigarettes.bin.30,-0.102003475659504,0.625234944425628,Model  3
raceNon Hispanic Black/Af-Am,-0.128361441401559,0.137577594243872,-0.933011237091582,0.350814166489263,w4.cigarettes.bin.30,-0.398008571199214,0.141285688396096,Model  3
raceNon Hispanic Asian/Pacific Islander,-0.220131796451643,0.219746240822853,-1.00175454937179,0.31646215359034,w4.cigarettes.bin.30,-0.6508265142025,0.210562921299214,Model  3
raceHispanic,-0.306634885700292,0.142857181997587,-2.14644361181275,0.0318376030170083,w4.cigarettes.bin.30,-0.586629817348447,-0.0266399540521383,Model  3
raceMultiple Races or Other,0.253094350080801,0.179748463059486,1.40804736670845,0.159117044691699,w4.cigarettes.bin.30,-0.0992061637922204,0.605394863953822,Model  3
pseudo.gpa,-0.396841120564404,0.0496817090512552,-7.98767047556666,1.37512426748172e-15,w4.cigarettes.bin.30,-0.494215480995262,-0.299466760133546,Model  3
sespc_al,-0.0110739721976581,0.0368032372566319,-0.30089668798531,0.763493275958138,w4.cigarettes.bin.30,-0.0832069917351392,0.0610590473398231,Model  3
nhood1_d,0.0102997019282471,0.00445325005819023,2.31285056838529,0.0207308563933762,w4.cigarettes.bin.30,0.00157149220004336,0.0190279116564509,Model  3
delta_w1_w4_GE,0.0494309709811823,0.0291252987360818,1.69718331231896,0.0896620090682813,w4.cigarettes.bin.30,-0.00765356558050788,0.106515507542872,Model  3
w1.cigarettes,1.18096152324209,0.0942253446178203,12.5333744125012,4.90312217946973e-36,w4.cigarettes.bin.30,0.996283241360291,1.3656398051239,Model  3
(Intercept),0.825595562386368,0.211612700704877,3.90144617802395,9.56197231878232e-05,w4.drunk.bin.30,0.410842290333556,1.24034883443918,Model  1
raceNon Hispanic Black/Af-Am,-0.167640096604152,0.12438971699855,-1.34770060298559,0.177754698073945,w4.drunk.bin.30,-0.41143946196844,0.0761592687601351,Model  1
raceNon Hispanic Asian/Pacific Islander,-0.22681388830215,0.223897189841793,-1.01302695430174,0.31104728636741,w4.drunk.bin.30,-0.665644316631791,0.212016540027491,Model  1
raceHispanic,0.237259022946631,0.133088417699315,1.7827172871096,0.074632335842588,w4.drunk.bin.30,-0.0235894825034487,0.498107528396711,Model  1
raceMultiple Races or Other,0.0669046618136999,0.197712933867894,0.338392944279526,0.735067090501672,w4.drunk.bin.30,-0.320605567845122,0.454414891472522,Model  1
pseudo.gpa,0.120440573830376,0.0656940009459355,1.8333572639227,0.066749458627772,w4.drunk.bin.30,-0.00831730202399819,0.249198449684749,Model  1
sespc_al,0.175194863316951,0.0336147863810398,5.21183925820717,1.8697752813947e-07,w4.drunk.bin.30,0.109311092662106,0.241078633971797,Model  1
nhood1_d,-0.0202474336958472,0.0045871373654138,-4.41395844138205,1.01497451152778e-05,w4.drunk.bin.30,-0.0292380577241962,-0.0112568096674982,Model  1
w1.GE_male_std,0.0485587791201971,0.0428336185428418,1.1336604464465,0.256937007092953,w4.drunk.bin.30,-0.0353935705512999,0.132511128791694,Model  1
w1.drunk,0.611207552468577,0.0909519396497348,6.72011564373887,1.81580392746343e-11,w4.drunk.bin.30,0.432945026431036,0.789470078506118,Model  1
(Intercept),0.749007894705552,0.211694474437538,3.53815514880882,0.000402933226082265,w4.drunk.bin.30,0.334094349081842,1.16392144032926,Model  2
raceNon Hispanic Black/Af-Am,-0.119903390857765,0.125694181092845,-0.953929528123482,0.340119315518833,w4.drunk.bin.30,-0.366259458865996,0.126452677150466,Model  2
raceNon Hispanic Asian/Pacific Islander,-0.178244189053678,0.21854394752228,-0.815598835266329,0.414729615843828,w4.drunk.bin.30,-0.606582455236558,0.250094077129203,Model  2
raceHispanic,0.282031811011993,0.130883903014794,2.15482427185957,0.0311755881353991,w4.drunk.bin.30,0.0255040749469631,0.538559547077024,Model  2
raceMultiple Races or Other,0.0587669004145904,0.194694066668941,0.301842277065989,0.762772300621123,w4.drunk.bin.30,-0.322826458260173,0.440360259089354,Model  2
pseudo.gpa,0.146973660141201,0.0652055429049308,2.25400561966776,0.0241958144439035,w4.drunk.bin.30,0.0191731444551557,0.274774175827247,Model  2
sespc_al,0.17677662629554,0.0332790220862771,5.3119537538465,1.08456130065309e-07,w4.drunk.bin.30,0.111550941565724,0.242002311025356,Model  2
nhood1_d,-0.0203017332718269,0.00450721147807272,-4.5042779489255,6.65989932017884e-06,w4.drunk.bin.30,-0.0291357054395549,-0.0114677611040988,Model  2
w4.GE_male_std,0.28924571344739,0.038616931148628,7.49012686518634,6.88070721921812e-14,w4.drunk.bin.30,0.213557919202616,0.364933507692164,Model  2
w1.drunk,0.580063038252101,0.0882377370945296,6.57386575576701,4.90254362907707e-11,w4.drunk.bin.30,0.407120251469509,0.753005825034692,Model  2
(Intercept),0.781976909697867,0.210627928744535,3.71259839262013,0.000205142269161037,w4.drunk.bin.30,0.36915375522031,1.19480006417542,Model  3
raceNon Hispanic Black/Af-Am,-0.106383332677446,0.124502070077666,-0.854470392428675,0.39284440752318,w4.drunk.bin.30,-0.350402906030353,0.137636240675462,Model  3
raceNon Hispanic Asian/Pacific Islander,-0.223835723896153,0.211406531583737,-1.05879284911069,0.289694131042523,w4.drunk.bin.30,-0.638184911896807,0.1905134641045,Model  3
raceHispanic,0.239027481340145,0.130728307036498,1.82842941026852,0.0674851308206443,w4.drunk.bin.30,-0.0171952922112842,0.495250254891574,Model  3
raceMultiple Races or Other,0.0846962433680161,0.199355157519661,0.424851026789528,0.670945277225941,w4.drunk.bin.30,-0.306032685502829,0.475425172238861,Model  3
pseudo.gpa,0.122501163281954,0.0649004318077255,1.88752462610537,0.0590897972841933,w4.drunk.bin.30,-0.00470134564228546,0.249703672206194,Model  3
sespc_al,0.171055091187184,0.0330616641833494,5.17381975204175,2.29356092440707e-07,w4.drunk.bin.30,0.106255420118862,0.235854762255507,Model  3
nhood1_d,-0.0196992658396791,0.00453242474430643,-4.34629739069028,1.3845482221814e-05,w4.drunk.bin.30,-0.0285826551011579,-0.0108158765782003,Model  3
delta_w1_w4_GE,0.140876595525882,0.0297108055618024,4.74159461051435,2.12042593695353e-06,w4.drunk.bin.30,0.082644486673077,0.199108704378687,Model  3
w1.drunk,0.643257074600963,0.0881391320111476,7.29820069614034,2.91641402810522e-13,w4.drunk.bin.30,0.470507550230492,0.816006598971433,Model  3
(Intercept),-2.09331347898752,0.284446336712299,-7.35925624208263,1.84937728392211e-13,w4.fav.bin.30,-2.65081805447798,-1.53580890349706,Model  1
raceNon Hispanic Black/Af-Am,-1.4694421928986,0.274580000281285,-5.35159950248843,8.71801783148387e-08,w4.fav.bin.30,-2.00760910432492,-0.931275281472282,Model  1
raceNon Hispanic Asian/Pacific Islander,-0.378750262494986,0.388261012307486,-0.975504236812302,0.329310201102407,w4.fav.bin.30,-1.13972786321872,0.382227338228749,Model  1
raceHispanic,-0.309355012136281,0.224794676078792,-1.37616698728154,0.168769940214187,w4.fav.bin.30,-0.749944481167061,0.131234456894499,Model  1
raceMultiple Races or Other,0.0518796532465935,0.279423824671279,0.185666534725971,0.852706273381838,w4.fav.bin.30,-0.495780979531547,0.599540286024734,Model  1
pseudo.gpa,-0.247156723560385,0.0729319747075666,-3.3888664683961,0.000701821782795514,w4.fav.bin.30,-0.390100767308602,-0.104212679812169,Model  1
sespc_al,-0.0130891753656932,0.0570497932030267,-0.229434229833436,0.818531434062902,w4.fav.bin.30,-0.124904715369084,0.0987263646376971,Model  1
nhood1_d,0.0123885734706504,0.00693771957899177,1.7856838013696,0.0741504696100821,w4.fav.bin.30,-0.0012091070390119,0.0259862539803126,Model  1
w1.GE_male_std,-0.0568413037935956,0.0651937120199956,-0.871883223586989,0.383272086731037,w4.fav.bin.30,-0.184618631371263,0.0709360237840718,Model  1
w1.recreational,0.869988460541958,0.152055850611239,5.72150599299369,1.0558393309278e-08,w4.fav.bin.30,0.571964469705327,1.16801245137859,Model  1
(Intercept),-2.2052030751669,0.292766403656501,-7.5322955353656,4.98559577324624e-14,w4.fav.bin.30,-2.77901468221696,-1.63139146811684,Model  2
raceNon Hispanic Black/Af-Am,-1.44242927839801,0.275908558462139,-5.22792510111986,1.7142292299101e-07,w4.fav.bin.30,-1.98320011601017,-0.901658440785857,Model  2
raceNon Hispanic Asian/Pacific Islander,-0.310536837918604,0.383955666345166,-0.808783057884188,0.418639943029312,w4.fav.bin.30,-1.06307611561521,0.442002439777999,Model  2
raceHispanic,-0.262124274409554,0.224258462826306,-1.16884897499978,0.242464484413847,w4.fav.bin.30,-0.701662784777428,0.177414235958319,Model  2
raceMultiple Races or Other,0.0514689016246381,0.289672330799546,0.177679730344196,0.858974504780146,w4.fav.bin.30,-0.516278434060244,0.61921623730952,Model  2
pseudo.gpa,-0.220408423436611,0.0741231272154307,-2.97354458340672,0.00294381637246656,w4.fav.bin.30,-0.365687083200336,-0.0751297636728863,Model  2
sespc_al,-0.0136976053667173,0.0578425031451757,-0.236808654914855,0.812805236864201,w4.fav.bin.30,-0.127066828306906,0.0996716175734718,Model  2
nhood1_d,0.0123491840126666,0.00694992550691369,1.7768800543807,0.0755879767153673,w4.fav.bin.30,-0.00127241967612048,0.0259707877014537,Model  2
w4.GE_male_std,0.252842487080978,0.079706944991574,3.17215127374041,0.00151314165627089,w4.fav.bin.30,0.096619745579778,0.409065228582178,Model  2
w1.recreational,0.840992728234526,0.152821976086671,5.50308764334762,3.73196776525929e-08,w4.fav.bin.30,0.541467159058409,1.14051829741064,Model  2
(Intercept),-2.1518818686328,0.285480454583844,-7.53775550683385,4.78129199551795e-14,w4.fav.bin.30,-2.71141327790726,-1.59235045935835,Model  3
raceNon Hispanic Black/Af-Am,-1.42342825594171,0.274121557096647,-5.19268995484312,2.07277209918526e-07,w4.fav.bin.30,-1.96069663523718,-0.886159876646245,Model  3
raceNon Hispanic Asian/Pacific Islander,-0.36510006599526,0.38315848198574,-0.952869590940827,0.340656149134882,w4.fav.bin.30,-1.11607689105835,0.385876759067829,Model  3
raceHispanic,-0.300433509049559,0.225622540189571,-1.33157577606001,0.182999629386148,w4.fav.bin.30,-0.742645561921559,0.141778543822441,Model  3
raceMultiple Races or Other,0.0655253086516188,0.289028699060746,0.226708658567664,0.820650293848584,w4.fav.bin.30,-0.50096053200591,0.632011149309147,Model  3
pseudo.gpa,-0.241071118618134,0.0726893583478678,-3.31645682528171,0.000911666725515289,w4.fav.bin.30,-0.383539643039281,-0.0986025941969876,Model  3
sespc_al,-0.0167821397869001,0.0576401819548843,-0.291153483867135,0.770933936603131,w4.fav.bin.30,-0.129754820480809,0.0961905409070086,Model  3
nhood1_d,0.0127265445334587,0.00693237511783537,1.83581302470437,0.0663853144802691,w4.fav.bin.30,-0.000860661024820247,0.0263137500917376,Model  3
delta_w1_w4_GE,0.161951579746695,0.0521503458781488,3.10547470049577,0.00189973871526961,w4.fav.bin.30,0.0597387800442165,0.264164379449174,Model  3
w1.recreational,0.860848424120749,0.150774496631664,5.70950952151921,1.1330221880436e-08,w4.fav.bin.30,0.565335840935533,1.15636100730597,Model  3
(Intercept),-0.831900028543608,0.211208674185544,-3.93875882111165,8.19042093733254e-05,w4.marijuana.bin.30,-1.24586142316973,-0.417938633917487,Model  1
raceNon Hispanic Black/Af-Am,0.0524892445231723,0.143176015513515,0.366606406351752,0.713912628890494,w4.marijuana.bin.30,-0.228130589333264,0.333109078379609,Model  1
raceNon Hispanic Asian/Pacific Islander,-0.234614991780272,0.276604212972816,-0.848197463295068,0.396328009745353,w4.marijuana.bin.30,-0.776749287179038,0.307519303618495,Model  1
raceHispanic,-0.0707492600150937,0.180126835368941,-0.392774679409555,0.694485907699577,w4.marijuana.bin.30,-0.423791369987394,0.282292849957207,Model  1
raceMultiple Races or Other,0.207964727051973,0.189478181105772,1.09756556579927,0.27239423589627,w4.marijuana.bin.30,-0.163405683771498,0.579335137875445,Model  1
pseudo.gpa,-0.177791259101864,0.0585392890439792,-3.03712706466752,0.00238844750557423,w4.marijuana.bin.30,-0.292526157308643,-0.0630563608950847,Model  1
sespc_al,0.0602574870127715,0.0387243375475584,1.55606243589752,0.119693246337966,w4.marijuana.bin.30,-0.0156408199056152,0.136155793931158,Model  1
nhood1_d,-0.0108372664889876,0.00499953521504393,-2.16765479646538,0.0301849611999681,w4.marijuana.bin.30,-0.0206361754499134,-0.00103835752806175,Model  1
w1.GE_male_std,0.0687139883372018,0.0459650090341455,1.49491950031288,0.134935452375576,w4.marijuana.bin.30,-0.0213757739187816,0.158803750593185,Model  1
w1.marijuana,0.88831335401554,0.0974586812781736,9.11476886784516,7.88383400775725e-20,w4.marijuana.bin.30,0.697297848729552,1.07932885930153,Model  1
(Intercept),-0.902298080828351,0.209561476265734,-4.30564861875756,1.6649716413369e-05,w4.marijuana.bin.30,-1.31303102685623,-0.491565134800468,Model  2
raceNon Hispanic Black/Af-Am,0.115101703705568,0.143720684965283,0.800870826167937,0.423206430967514,w4.marijuana.bin.30,-0.166585662659814,0.39678907007095,Model  2
raceNon Hispanic Asian/Pacific Islander,-0.202493843424163,0.275297827638366,-0.735544646905681,0.462007859557254,w4.marijuana.bin.30,-0.742067670617477,0.33707998376915,Model  2
raceHispanic,-0.0396677842907451,0.181844766718326,-0.218140917699269,0.827319317268927,w4.marijuana.bin.30,-0.396076977835751,0.316741409254261,Model  2
raceMultiple Races or Other,0.225797679833059,0.197180169780476,1.14513381383353,0.25215373025221,w4.marijuana.bin.30,-0.160668351402168,0.612263711068286,Model  2
pseudo.gpa,-0.164426239152172,0.057916935828591,-2.83900100721492,0.00452550140672858,w4.marijuana.bin.30,-0.277941347471128,-0.0509111308332162,Model  2
sespc_al,0.0581104613409916,0.0392566084036682,1.48027207912239,0.138800651363982,w4.marijuana.bin.30,-0.0188310772853905,0.135051999967374,Model  2
nhood1_d,-0.0109998027969505,0.0050223170508953,-2.19018486596533,0.0285108323642383,w4.marijuana.bin.30,-0.0208433633356467,-0.0011562422582543,Model  2
w4.GE_male_std,0.234633228531094,0.0573347595628342,4.09233823112061,4.27045148241291e-05,w4.marijuana.bin.30,0.122259164725676,0.347007292336513,Model  2
w1.marijuana,0.88288306547743,0.0961888887645956,9.17863878891586,4.36574988858346e-20,w4.marijuana.bin.30,0.694356307785893,1.07140982316897,Model  2
(Intercept),-0.853850948820247,0.208102417652379,-4.1030323359652,4.07770232200229e-05,w4.marijuana.bin.30,-1.26172419251462,-0.445977705125872,Model  3
raceNon Hispanic Black/Af-Am,0.102426148885877,0.141774195623106,0.722459742661269,0.470011867609019,w4.marijuana.bin.30,-0.175446168472546,0.380298466244301,Model  3
raceNon Hispanic Asian/Pacific Islander,-0.247015843950542,0.268608709218493,-0.919612192282316,0.357775453068681,w4.marijuana.bin.30,-0.773479239952581,0.279447552051497,Model  3
raceHispanic,-0.0777533459795362,0.180848925091399,-0.429935350404989,0.667242669718488,w4.marijuana.bin.30,-0.43221072580146,0.276704033842388,Model  3
raceMultiple Races or Other,0.227373328397884,0.194855030180753,1.16688457150409,0.243256987357015,w4.marijuana.bin.30,-0.154535512962857,0.609282169758625,Model  3
pseudo.gpa,-0.180999093179916,0.0571110516755546,-3.16924812045423,0.0015283386299416,w4.marijuana.bin.30,-0.292934697583209,-0.0690634887766232,Model  3
sespc_al,0.0558512646475111,0.039045496942584,1.4304150035442,0.152597944618896,w4.marijuana.bin.30,-0.0206765031184222,0.132379032413444,Model  3
nhood1_d,-0.0105137534004699,0.00498922975036078,-2.10728988772459,0.0350924593683399,w4.marijuana.bin.30,-0.0202924640217728,-0.00073504277916704,Model  3
delta_w1_w4_GE,0.086098582070543,0.0357311424508486,2.40962298333951,0.015969012965554,w4.marijuana.bin.30,0.0160668297404095,0.156130334400677,Model  3
w1.marijuana,0.910666508135636,0.0947752236708101,9.60869806331158,7.34720799692335e-22,w4.marijuana.bin.30,0.72491048311412,1.09642253315715,Model  3
(Intercept),-0.684529423747948,0.226833262073186,-3.01776475588969,0.00254646494941186,w4.prescription,-1.12911444790713,-0.239944399588769,Model  1
raceNon Hispanic Black/Af-Am,-1.57567700774457,0.166781056626742,-9.44757779818458,3.46761891595334e-21,w4.prescription,-1.90256187203652,-1.24879214345262,Model  1
raceNon Hispanic Asian/Pacific Islander,-0.900841588826708,0.283044789544122,-3.18268211288264,0.00145917720347123,w4.prescription,-1.45559918234491,-0.346083995308511,Model  1
raceHispanic,-0.596791040962738,0.183217131671412,-3.25728841794688,0.0011248207935647,w4.prescription,-0.955890020389439,-0.237692061536038,Model  1
raceMultiple Races or Other,0.0495151364044454,0.17016599895336,0.290981375298228,0.771065563846533,w4.prescription,-0.28400409293742,0.383034365746311,Model  1
pseudo.gpa,-0.1295903656904,0.0562238708257388,-2.30489939214706,0.0211722086700026,w4.prescription,-0.239787127580281,-0.01939360380052,Model  1
sespc_al,0.0871206796560415,0.0419958566121742,2.07450655098165,0.038032290987464,w4.prescription,0.00481031319627172,0.169431046115811,Model  1
nhood1_d,-0.000541633597213856,0.00514943587680129,-0.105183093871305,0.91623052543813,w4.prescription,-0.0106343424564428,0.0095510752620151,Model  1
w1.GE_male_std,0.0368470517951053,0.0486093052178937,0.758024654537573,0.448436223361093,w4.prescription,-0.0584254357454812,0.132119539335692,Model  1
(Intercept),-0.765127123032932,0.224244661286147,-3.41201934817343,0.000644835361110683,w4.prescription,-1.20463858287916,-0.3256156631867,Model  2
raceNon Hispanic Black/Af-Am,-1.54021907671194,0.168034246144508,-9.16610222054002,4.90431820182531e-20,w4.prescription,-1.86956014732451,-1.21087800609937,Model  2
raceNon Hispanic Asian/Pacific Islander,-0.871038084278906,0.283695035796275,-3.07033248514229,0.00213820594037452,w4.prescription,-1.42707013703241,-0.315006031525406,Model  2
raceHispanic,-0.571237677788398,0.182010200821622,-3.13849265156428,0.00169819193034909,w4.prescription,-0.92797111621768,-0.214504239359117,Model  2
raceMultiple Races or Other,0.0551178671033582,0.171492861215711,0.321400358665826,0.74790701135062,w4.prescription,-0.281001964485161,0.391237698691878,Model  2
pseudo.gpa,-0.111654251120039,0.0557957486009718,-2.00112470787951,0.0453789522823086,w4.prescription,-0.221011908868394,-0.00229659337168274,Model  2
sespc_al,0.0873487625812636,0.0416145465985155,2.0989958973716,0.0358172623899064,w4.prescription,0.00578575001520934,0.168911775147318,Model  2
nhood1_d,-0.000426416174374289,0.00513147189922025,-0.0830982187467664,0.933773442183522,w4.prescription,-0.0104839162845253,0.00963108393577674,Model  2
w4.GE_male_std,0.198466046053192,0.0409791577508348,4.8430972461641,1.2783068530193e-06,w4.prescription,0.11814837274477,0.278783719361614,Model  2
(Intercept),-0.705636393847668,0.223676494922527,-3.1547185773457,0.00160652988052884,w4.prescription,-1.14403426808398,-0.267238519611359,Model  3
raceNon Hispanic Black/Af-Am,-1.53750342327182,0.166899263138928,-9.21216423820871,3.19614579849957e-20,w4.prescription,-1.86461996807039,-1.21038687847325,Model  3
raceNon Hispanic Asian/Pacific Islander,-0.907368881317173,0.280698598072262,-3.23253798753773,0.00122695821466364,w4.prescription,-1.45752802404969,-0.357209738584655,Model  3
raceHispanic,-0.60163064172491,0.184346972676159,-3.26357755156516,0.00110015070562156,w4.prescription,-0.962944068829172,-0.240317214620649,Model  3
raceMultiple Races or Other,0.0637765360404084,0.169242148671596,0.376836010066044,0.706295477984504,w4.prescription,-0.267931980022093,0.39548505210291,Model  3
pseudo.gpa,-0.130615431217383,0.056103055201984,-2.32813401600211,0.0199049885633487,w4.prescription,-0.240575398835935,-0.0206554635988322,Model  3
sespc_al,0.0846662381402488,0.0417623810268263,2.02733263905291,0.0426284057226067,w4.prescription,0.0028134754190304,0.166519000861467,Model  3
nhood1_d,-0.000179393282988221,0.00511442330091946,-0.0350759552804262,0.97201917451779,w4.prescription,-0.0102034787544828,0.00984469218850637,Model  3
delta_w1_w4_GE,0.086593259202153,0.0353089262181809,2.45244668917644,0.01418884024861,w4.prescription,0.0173890354817363,0.15579748292257,Model  3
